Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AAPL,"Apple Inc",127.9,1.69,+1.34%,125.83,127.92,125.14,83466703,04/07/21
AMD,"Adv Micro Devices",82.2,0.76,+0.93%,81.32,83.1,80.35,35590898,04/07/21
MSFT,"Microsoft Corp",249.9,2.04,+0.82%,247.81,250.93,247.19,22719801,04/07/21
INTC,"Intel Corp",66.25,0.69,+1.05%,65.67,66.57,65.36,17793201,04/07/21
MU,"Micron Technology",93.96,0.47,+0.50%,94.25,95.07,92.54,17621400,04/07/21
CSCO,"Cisco Systems Inc",51.77,-0.26,-0.49%,52.01,52.14,51.58,15783601,04/07/21
AMAT,"Applied Materials",139.14,-0.4,-0.29%,140.25,141.87,136.82,13702699,04/07/21
ORCL,"Oracle Corp",74.07,-0.21,-0.28%,73.6,74.18,73.45,12356700,04/07/21
PYPL,"Paypal Holdings",255.6,2.41,+0.95%,253.07,259.22,251.07,7243200,04/07/21
HPE,"Hewlett Packard Enterprise Comp",15.9,-0.02,-0.13%,15.9,16.02,15.78,7077000,04/07/21
QCOM,"Qualcomm Inc",139.43,1.37,+0.99%,138.33,139.95,137.4,6958500,04/07/21
HPQ,"HP Inc",32.28,-0.01,-0.03%,32.2,32.67,32.15,6836800,04/07/21
NVDA,"Nvidia Corp",565.74,11.28,+2.03%,555.23,569.74,548.46,6282100,04/07/21
V,"Visa Inc",219.27,0.62,+0.28%,219.12,221.04,218.64,5614300,04/07/21
CRM,"Salesforce.com Inc",220.79,-0.3,-0.14%,221.96,222.68,219.39,4403400,04/07/21
APH,"Amphenol Corp",67.29,-0.99,-1.45%,68.26,68.63,67.22,4129500,04/07/21
TXN,"Texas Instruments",193.09,-1.5,-0.77%,194.46,194.49,191.51,3678900,04/07/21
WDC,"Western Digital Cp",72.22,-0.6,-0.82%,73,74.66,71.85,3603200,04/07/21
GLW,"Corning Inc",44.29,-0.39,-0.87%,44.71,44.79,44.22,3445100,04/07/21
FISV,"Fiserv Inc",123.12,-0.57,-0.46%,123.53,124.04,122.7,3133700,04/07/21
IBM,"International Business Machines",134.93,0.71,+0.53%,133.84,134.94,133.78,2976100,04/07/21
MA,"Mastercard Inc",371.08,1.51,+0.41%,369.14,373.96,369,2958400,04/07/21
WU,"Western Union Company",25.27,0.15,+0.60%,25.2,25.35,25.15,2840800,04/07/21
NLOK,"Nortonlifelock Inc",21.75,-0.2,-0.91%,21.93,22.02,21.69,2840600,04/07/21
ACN,"Accenture Plc",282.57,0.94,+0.33%,281.97,283.63,281.1,2736200,04/07/21
FIS,"Fidelity National Information Services",146.88,1.4,+0.96%,145.59,147.32,145.59,2676400,04/07/21
JNPR,"Juniper Networks",25.42,-0.16,-0.63%,25.71,25.76,25.33,2575000,04/07/21
PAYX,"Paychex Inc",94.81,-0.61,-0.64%,95.37,96.83,94.54,2520200,04/07/21
DXC,"Dxc Technology Company",31.2,-0.05,-0.16%,31.21,31.65,30.78,2455800,04/07/21
IT,"Gartner Inc",187.1,-2.18,-1.15%,189.55,191.35,185.27,2214200,04/07/21
TEL,"Te Connectivity Ltd",129.5,-2.6,-1.97%,131.57,132.09,128.99,2193300,04/07/21
ENPH,"Enphase Energy Inc",150.01,-7.91,-5.01%,156.12,157.68,149.23,2123500,04/07/21
